id,title,description
81,Philosophy for Beginners,"Learn logic, metaphysics, and ethics."
82,Literature Classics,"Explore Shakespeare, Dickens, and other world literature."
83,Art History,"Study major art movements from Renaissance to Modernism."
84,Economics Fundamentals,"Learn microeconomics and macroeconomics principles."
85,Accounting Basics,"Understand financial statements, ledgers, and balance sheets."
86,Supply Chain Management,"Learn logistics, procurement, and inventory systems."
87,Operations Research,"Optimization techniques for decision-making and planning."
88,Statistics Advanced,"Advanced probability, ANOVA, and time series forecasting."
89,Data Ethics,"Study privacy, bias, and fairness in AI systems."
90,Research Methodology,"Learn qualitative and quantitative research methods."
91,Advanced Machine Learning,"Deep dive into ensemble methods, SVMs, and gradient boosting."
92,Natural Language Generation,"Study NLG models for text creation and summarization."
93,Computer Vision Advanced,"Learn CNNs, object detection, and image segmentation."
94,Generative AI Basics,"Introduction to GANs, diffusion models, and generative applications."
95,Recommender Systems,"Build collaborative and content-based recommender systems."
96,Big Data Analytics,"Techniques for analyzing terabytes of structured and unstructured data."
97,Cloud Native Development,"Learn microservices, Kubernetes, and containerized apps."
98,Edge Computing,"Study IoT edge devices and real-time data processing."
99,Quantum Algorithms,"Explore Shor’s and Grover’s algorithms for quantum computers."
100,Green Computing,"Learn sustainable IT practices and energy-efficient systems."
101,Digital Transformation,"Understand how businesses evolve with AI and automation."
102,Knowledge Management,"Principles of managing and sharing organizational knowledge."
103,HR Analytics,"Use data-driven insights for recruitment and performance management."
104,Behavioral Economics,"Study human behavior in decision-making and economics."
105,Advanced Marketing Analytics,"Learn predictive models for marketing campaigns."
106,Financial Modeling,"Build Excel and Python models for investment analysis."
107,Investment Banking Basics,"Introduction to M&A, IPOs, and corporate finance."
108,Insurance & Risk Management,"Learn insurance products and risk assessment methods."
109,International Business,"Study global markets, trade policies, and strategies."
110,Supply Chain Analytics,"Optimize logistics using predictive analytics."
111,Healthcare Management,"Learn hospital administration and health systems."
112,Bioinformatics,"Apply computer science to analyze biological data."
113,Genetic Engineering Basics,"Study CRISPR, DNA modification, and biotechnology."
114,Pharmaceutical Science,"Introduction to drug discovery and development."
115,Public Health,"Learn epidemiology, health policy, and community health."
116,Agriculture Technology,"Smart farming with IoT, AI, and drones."
117,Food Science,"Understand food safety, preservation, and nutrition."
118,Architecture Fundamentals,"Learn design principles and building structures."
119,Urban Planning,"Study sustainable city planning and smart cities."
120,Interior Design Basics,"Introduction to space planning, color, and aesthetics."
